dataset,preproc,Layer 1,Layer 2,mrr,map,mr,mf1,mndcg,time_avg,time_std,time_max,time_min
subset_msmarco_train_0.01_99,full,BM25,,0.5237966537966536,0.07441441441441494,0.7189189189189189,0.13453453453453476,0.5603925387629852,0.6640344965765826,0.19178681839010078,1.5413079999998445,0.3650864000010188
subset_msmarco_train_0.01_99,full,BM25Fast,,0.4252252252252252,0.04252252252252264,0.41621621621621624,0.07704067704067706,0.41417752805827995,0.03245367279269959,0.03460795487102554,0.16254330000083428,0.00013140000010025688
subset_msmarco_train_0.01_99,full,BM25PySerini,,0.5324796224796223,0.07495495495495551,0.7243243243243244,0.13551733551733575,0.5677309081107665,0.030538765585672967,0.01285555980350803,0.25688799999988987,0.0029523000011977274
subset_msmarco_train_0.01_99,lower,BM25,,0.47228514228514207,0.06810810810810855,0.6558558558558558,0.12306852306852298,0.5057493729250429,0.8360238962161954,0.26399775750495025,2.081760499997472,0.38137750000169035
subset_msmarco_train_0.01_99,lower,BM25Fast,,0.3783783783783784,0.03783783783783789,0.36936936936936937,0.06852306852306864,0.36733068121143325,0.09356247747745255,0.07783626127511559,0.5138151999999536,7.209999967017211e-05
subset_msmarco_train_0.01_99,lower,BM25PySerini,,0.559161304161304,0.0772972972972979,0.7468468468468469,0.1397488397488401,0.5931316477163775,0.03188202864876403,0.016879320899849417,0.3926372999994783,0.0023615999998582993
subset_msmarco_train_0.01_99,none,BM25,,0.23913341913341918,0.03765765765765771,0.36396396396396397,0.06808626808626819,0.26174013618144226,0.8181094812612345,0.2837091127465843,3.296254599998065,0.3834917999993195
subset_msmarco_train_0.01_99,none,BM25Fast,,0.1873873873873874,0.0187387387387387,0.1810810810810811,0.0338793338793339,0.17965399937052573,0.08513844594591967,0.06880210057213451,0.41892039999947883,6.120000034570694e-05
subset_msmarco_train_0.01_99,none,BM25PySerini,,0.559161304161304,0.0772972972972979,0.7468468468468469,0.1397488397488401,0.5931316477163775,0.04271888396399083,0.06717055968502347,0.987721400000737,0.005015700000512879
subset_msmarco_train_0.01_99,none,BM25PySerini,SentenceTransformerSimilarity,0.7089625339625338,0.08990990990991067,0.8657657657657658,0.16246246246246332,0.7331528327430449,0.013263560360405586,0.026171026634039897,0.6062832000025082,0.007622700002684724
subset_msmarco_train_0.01_99,none,Faiss,,0.7075675675675673,0.09099099099099177,0.8756756756756757,0.16440076440076531,0.7342178667637614,0.036234712252287964,0.009240776853793677,0.23142379999626428,0.0318115999980364
